tract_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,fips_county_code,tract
"Census Tract 105.02, Hamilton County, Tennessee",3458,2362,58869,62933,80568,36,0,68,5,0,0,0,28,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,47,065,010502
"Census Tract 117, Hamilton County, Tennessee",4983,3310,46538,63678,57650,15,5,121,14,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13,3,0,3,0,0,0,0,13,3,12,3,47,065,011700
"Census Tract 104.32, Hamilton County, Tennessee",6991,5193,85769,92396,119837,118,80,128,21,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,47,065,010432
"Census Tract 104.12, Hamilton County, Tennessee",5293,3747,52784,62750,61721,128,22,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,47,065,010412
"Census Tract 114.42, Hamilton County, Tennessee",2922,1918,43558,46513,51875,47,43,6,26,33,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,065,011442
"Census Tract 13, Hamilton County, Tennessee",1896,1244,26316,26471,30735,15,9,0,4,34,21,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,47,065,001300
"Census Tract 101.01, Hamilton County, Tennessee",5751,4203,68024,96991,77125,125,35,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,47,065,010101
"Census Tract 20, Hamilton County, Tennessee",1199,892,31250,74444,32000,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,065,002000
"Census Tract 114.13, Hamilton County, Tennessee",7518,5805,57641,58798,95245,118,49,100,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,47,065,011413
"Census Tract 9502, Hardeman County, Tennessee",6061,4804,41346,34583,40313,16,0,2,0,34,63,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,47,069,950200
"Census Tract 9504, Hardeman County, Tennessee",5506,3568,34107,31483,38660,47,0,3,13,56,40,113,48,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,069,950400
"Census Tract 9501, Hardeman County, Tennessee",3422,2490,37386,53050,42813,55,9,73,18,4,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,069,950100
"Census Tract 9505, Hardeman County, Tennessee",4235,2906,40652,55721,39811,59,63,115,42,7,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,069,950500
"Census Tract 9506, Hardeman County, Tennessee",2876,1835,32292,31576,39574,19,8,9,19,71,13,42,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,069,950600
"Census Tract 1101, Morgan County, Tennessee",2713,1940,37337,61445,38458,24,23,56,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,129,110100
"Census Tract 1105, Morgan County, Tennessee",5024,3664,37294,43036,44410,129,50,120,83,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,47,129,110500
"Census Tract 1103, Morgan County, Tennessee",6388,4669,41766,43468,49398,82,33,65,14,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,9,0,47,129,110300
"Census Tract 1104, Morgan County, Tennessee",4373,3063,44788,40221,51076,124,57,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,129,110400
"Census Tract 1102, Morgan County, Tennessee",3141,2273,39495,49875,55655,31,52,42,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,129,110200
"Census Tract 9550, Grundy County, Tennessee",2811,1979,30029,40625,35625,29,22,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,21,41,0,0,0,0,47,061,955000
"Census Tract 9553, Grundy County, Tennessee",4974,3400,26732,37292,-666666666,35,40,66,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,32,14,7,0,0,0,47,061,955300
"Census Tract 9551, Grundy County, Tennessee",1438,1135,44400,-666666666,44667,42,14,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,47,061,955100
"Census Tract 9552, Grundy County, Tennessee",4136,2798,35000,42500,37656,64,59,61,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,25,10,0,0,0,0,47,061,955200
"Census Tract 9690, Henry County, Tennessee",4503,3696,41462,41267,48625,0,43,10,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,079,969000
"Census Tract 9691, Henry County, Tennessee",2787,2094,41081,46250,44907,80,9,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,47,079,969100
"Census Tract 9693, Henry County, Tennessee",3713,2254,31293,27558,42147,63,13,27,68,68,15,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,47,079,969300
"Census Tract 9695, Henry County, Tennessee",5340,3775,42013,48835,44358,145,73,22,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,47,079,969500
"Census Tract 9696, Henry County, Tennessee",7799,5611,48814,50313,67740,165,111,202,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,079,969600
"Census Tract 9697, Henry County, Tennessee",2172,1723,37269,42917,50313,0,9,41,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,079,969700
"Census Tract 9692, Henry County, Tennessee",1791,1232,38314,38182,52841,24,0,24,29,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13,0,47,079,969200
"Census Tract 9698, Henry County, Tennessee",2178,1543,37463,41685,40833,47,26,48,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,6,0,11,11,47,079,969800
"Census Tract 9694, Henry County, Tennessee",1980,1315,23147,37857,24355,15,14,47,24,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,079,969400
"Census Tract 9801, Cocke County, Tennessee",0,0,-666666666,-666666666,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,029,980100
"Census Tract 9610, Crockett County, Tennessee",2147,1572,37409,35893,44821,28,12,15,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,5,3,0,4,15,47,033,961000
"Census Tract 9613, Crockett County, Tennessee",2352,1644,35268,45625,34583,36,10,56,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,47,033,961300
"Census Tract 9503, Hardeman County, Tennessee",3684,2710,36439,40302,36250,21,35,18,12,42,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,47,069,950300
"Census Tract 604, Loudon County, Tennessee",5018,3771,63340,53765,78906,100,29,78,7,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,105,060400
"Census Tract 607, Loudon County, Tennessee",2902,1947,41375,40781,58333,17,12,37,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,47,105,060700
"Census Tract 601, Loudon County, Tennessee",5079,3900,48581,60179,58447,160,36,82,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,36,0,0,0,47,105,060100
"Census Tract 606, Loudon County, Tennessee",4621,2916,48462,56307,53990,59,18,36,63,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,0,0,0,0,0,81,81,64,20,47,105,060600
"Census Tract 9503, Polk County, Tennessee",3771,2684,48940,54083,56417,94,47,94,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,47,139,950300
"Census Tract 9504, Polk County, Tennessee",3438,2627,38094,43198,42039,54,2,57,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,47,139,950400
"Census Tract 8, Shelby County, Tennessee",2400,1293,14235,-666666666,15682,0,0,0,0,64,38,56,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,157,000800
"Census Tract 13, Shelby County, Tennessee",3383,2146,18492,14133,24123,17,16,39,0,107,19,52,23,0,0,0,0,0,0,14,0,0,0,0,0,0,12,44,0,0,0,0,0,0,12,44,0,47,157,001300
"Census Tract 14, Shelby County, Tennessee",1701,1002,17268,28438,13472,0,0,0,0,40,37,33,50,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,12,0,11,47,157,001400
"Census Tract 15, Shelby County, Tennessee",1566,1124,24932,30492,24196,4,0,0,0,19,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,157,001500
"Census Tract 17, Shelby County, Tennessee",3955,2996,50951,57500,44966,0,0,0,0,53,14,69,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,9,0,0,0,47,157,001700
"Census Tract 21, Shelby County, Tennessee",1448,850,18542,23500,16875,0,0,0,0,32,8,95,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,157,002100
"Census Tract 31, Shelby County, Tennessee",3392,2288,50867,51997,51343,13,41,30,30,0,37,5,72,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,25,0,6,0,0,47,157,003100
"Census Tract 39, Shelby County, Tennessee",1605,1261,13281,26023,10217,0,0,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,47,157,003900
"Census Tract 42, Shelby County, Tennessee",2927,2516,65271,66920,72670,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,157,004200
"Census Tract 46, Shelby County, Tennessee",1264,879,23782,30833,28224,0,0,0,0,21,13,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,157,004600
"Census Tract 53, Shelby County, Tennessee",2921,2222,19653,22786,18573,0,0,0,0,8,30,41,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,157,005300
"Census Tract 63, Shelby County, Tennessee",2716,1941,49250,57383,37207,0,0,0,14,51,23,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,47,157,006300
"Census Tract 65, Shelby County, Tennessee",2453,1599,23194,25000,23681,0,0,0,0,83,64,83,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,157,006500
"Census Tract 71, Shelby County, Tennessee",2212,1602,75037,58472,103090,10,82,12,60,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,157,007100
"Census Tract 1, Shelby County, Tennessee",6482,4537,71146,76215,-666666666,28,0,29,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,157,000100
"Census Tract 97, Shelby County, Tennessee",2817,1709,34766,34179,36696,27,0,0,13,87,0,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,21,47,157,009700
"Census Tract 78.22, Shelby County, Tennessee",1868,1263,25750,26979,23793,0,0,0,0,34,19,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,22,0,47,157,007822
"Census Tract 80, Shelby County, Tennessee",5145,3282,30107,30268,38528,0,22,17,6,48,0,193,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,47,157,008000
"Census Tract 102.10, Shelby County, Tennessee",5575,3527,28627,25156,31385,7,8,0,0,96,27,119,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,47,157,010210
"Census Tract 802, Robertson County, Tennessee",6318,4142,60436,60882,64130,114,81,120,27,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,2,0,0,22,0,0,47,147,080200
"Census Tract 804.01, Robertson County, Tennessee",5078,3275,39816,34348,52083,39,0,100,43,16,50,67,13,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,44,28,0,18,47,147,080401
"Census Tract 805, Robertson County, Tennessee",4321,2977,65766,61667,78875,51,15,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,11,9,11,0,47,147,080500
"Census Tract 804.02, Robertson County, Tennessee",4621,3349,53470,63646,55593,28,17,56,11,10,0,0,0,0,0,24,0,0,0,7,8,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,47,147,080402
"Census Tract 801.01, Robertson County, Tennessee",4267,2639,64025,66208,70625,66,60,104,28,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,2,3,11,47,147,080101
"Census Tract 807, Robertson County, Tennessee",7324,5286,65368,64792,77679,158,66,88,96,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,47,147,080700
"Census Tract 9601, Franklin County, Tennessee",3710,2431,37917,42305,43482,100,69,88,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,051,960100
"Census Tract 9608, Franklin County, Tennessee",3106,2180,47765,49750,61600,92,23,48,41,6,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,47,051,960800
"Census Tract 9604, Franklin County, Tennessee",7795,5718,47917,56425,58125,66,148,177,0,24,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,47,051,960400
"Census Tract 9606, Franklin County, Tennessee",4373,2815,35423,53051,37330,55,22,68,62,3,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,20,0,13,0,47,051,960600
"Census Tract 9605, Franklin County, Tennessee",3879,2822,41375,52634,41170,130,14,47,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,051,960500
"Census Tract 9607, Franklin County, Tennessee",4156,1941,54453,53160,55714,57,132,42,365,0,24,0,0,0,0,0,0,0,0,13,21,0,0,0,0,0,0,0,0,0,21,0,34,3,5,14,23,47,051,960700
"Census Tract 9603, Franklin County, Tennessee",2751,1811,47321,48824,56860,67,59,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,47,051,960300
"Census Tract 104, Blount County, Tennessee",3123,2409,44352,61250,41667,29,38,108,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,47,009,010400
"Census Tract 111.02, Blount County, Tennessee",9058,6150,72103,73484,96667,220,117,213,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,35,0,0,0,0,0,47,009,011102
"Census Tract 105, Blount County, Tennessee",2706,1821,31087,37903,46667,28,10,41,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,21,0,0,47,009,010500
"Census Tract 102, Blount County, Tennessee",6514,4491,47528,41179,48692,91,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,36,0,0,55,0,0,0,47,009,010200
"Census Tract 116.02, Blount County, Tennessee",8707,6349,49755,69308,56458,152,181,167,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,009,011602
"Census Tract 106, Blount County, Tennessee",4114,2430,36824,40313,83409,15,150,62,260,0,36,2,58,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,5,47,009,010600
"Census Tract 109, Blount County, Tennessee",6250,4288,54518,58201,72069,218,86,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,009,010900
"Census Tract 108, Blount County, Tennessee",2725,1936,28889,38587,24010,20,10,71,8,21,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,009,010800
"Census Tract 101, Blount County, Tennessee",2975,1897,29375,40000,29228,23,6,30,7,22,32,13,0,0,0,0,0,0,0,20,34,0,0,0,0,0,0,0,0,0,0,0,0,26,0,27,0,47,009,010100
"Census Tract 107, Blount County, Tennessee",4750,3127,55272,57697,67361,77,66,88,148,0,0,18,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,009,010700
"Census Tract 111.01, Blount County, Tennessee",4932,3551,44842,52917,67266,103,82,82,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,009,011101
"Census Tract 110.20, Shelby County, Tennessee",1323,863,35938,40586,36625,0,0,0,0,55,43,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,9,0,47,157,011020
"Census Tract 205.11, Shelby County, Tennessee",2165,1441,43750,35688,77717,1,0,2,0,19,0,80,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,157,020511
"Census Tract 207, Shelby County, Tennessee",2220,1607,69219,75694,83125,40,33,52,18,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,19,7,4,0,47,157,020700
"Census Tract 212, Shelby County, Tennessee",3792,2962,-666666666,-666666666,-666666666,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,157,021200
"Census Tract 208.20, Shelby County, Tennessee",8346,5347,110682,118875,105583,160,138,111,26,17,16,48,41,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,24,0,0,23,33,0,0,47,157,020820
"Census Tract 9501, Polk County, Tennessee",1420,1068,33482,69722,22315,16,15,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,139,950100
"Census Tract 415, Rutherford County, Tennessee",2632,64,-666666666,-666666666,-666666666,0,537,0,329,0,228,0,563,0,0,0,0,0,0,0,26,0,0,0,0,0,14,0,3,0,36,0,31,0,32,0,11,47,149,041500
"Census Tract 419, Rutherford County, Tennessee",4310,2592,27742,30734,26750,45,7,0,10,23,44,109,0,0,0,0,0,0,0,16,0,0,0,0,0,12,0,0,12,32,0,0,0,12,0,8,21,47,149,041900
"Census Tract 418, Rutherford County, Tennessee",4399,2850,29802,36750,32625,7,8,25,15,12,0,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,8,0,0,0,47,149,041800
"Census Tract 403.02, Rutherford County, Tennessee",8949,5625,66985,68201,80769,172,24,146,128,69,53,42,0,0,0,0,0,0,0,0,35,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,47,149,040302
"Census Tract 404.03, Rutherford County, Tennessee",7373,4632,44929,33275,62689,48,139,203,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,72,104,47,149,040403
"Census Tract 417, Rutherford County, Tennessee",4879,3432,38101,44904,43864,53,0,21,48,35,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,149,041700
"Census Tract 410, Rutherford County, Tennessee",7433,4973,92616,93380,119815,248,57,102,85,13,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,9,47,149,041000
"Census Tract 421, Rutherford County, Tennessee",9945,5052,40132,47663,57708,53,109,0,159,0,65,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,92,0,9,0,7,0,0,47,149,042100
"Census Tract 420, Rutherford County, Tennessee",5179,3338,51069,51167,63065,65,30,59,17,45,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,47,149,042000
"Census Tract 402, Rutherford County, Tennessee",3762,2214,63650,67594,72879,56,57,87,0,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,24,3,49,47,149,040200
"Census Tract 416, Rutherford County, Tennessee",6325,3829,32589,39468,38820,16,65,92,45,33,19,24,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,47,149,041600
"Census Tract 406, Rutherford County, Tennessee",4667,3487,62813,73359,76944,98,42,85,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,149,040600
"Census Tract 1007, Hamblen County, Tennessee",6013,4049,41823,54044,38875,105,62,212,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,14,0,0,0,47,063,100700
"Census Tract 1010, Hamblen County, Tennessee",5270,3900,51903,58125,56213,30,30,78,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,47,063,101000
"Census Tract 1004, Hamblen County, Tennessee",6665,4367,35913,28445,32674,99,32,76,98,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,41,6,0,0,146,40,0,47,47,063,100400
"Census Tract 1003, Hamblen County, Tennessee",3191,1878,20931,18640,21250,14,15,66,3,19,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,136,76,0,47,063,100300
"Census Tract 1008, Hamblen County, Tennessee",3766,2313,30890,28040,51250,223,30,50,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,0,0,0,0,0,26,32,0,0,47,063,100800
"Census Tract 1011, Hamblen County, Tennessee",4966,3668,46875,72905,47667,42,59,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,47,063,101100
"Census Tract 1012, Hamblen County, Tennessee",6900,4489,61481,69364,83569,61,88,135,29,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,063,101200
"Census Tract 1006, Hamblen County, Tennessee",6683,4832,48046,55375,58074,151,65,162,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,47,063,100600
"Census Tract 1201, Houston County, Tennessee",3463,2336,45750,46442,49286,76,38,63,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,083,120100
"Census Tract 1203, Houston County, Tennessee",2723,1910,37717,42460,37688,59,62,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,083,120300
"Census Tract 1202, Houston County, Tennessee",2002,1468,41111,47083,44563,26,17,46,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,083,120200
"Census Tract 112, Maury County, Tennessee",5249,4075,60794,51316,80281,61,16,55,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,119,011200
"Census Tract 109, Maury County, Tennessee",3275,2354,56380,63750,62031,60,20,36,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,119,010900
"Census Tract 101, Maury County, Tennessee",3480,2488,49130,54648,62656,39,0,57,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,47,119,010100
"Census Tract 106, Maury County, Tennessee",5517,3284,44697,37429,53068,110,14,90,50,61,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0,0,0,19,0,43,23,47,119,010600
"Census Tract 105, Maury County, Tennessee",4265,2813,27975,22409,36964,27,11,48,5,0,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,47,119,010500
"Census Tract 104, Maury County, Tennessee",6099,4441,47557,35927,57417,179,25,82,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,55,0,19,0,0,16,47,119,010400
"Census Tract 107, Maury County, Tennessee",4788,3214,33146,33833,38526,81,34,53,12,0,0,89,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,22,10,47,119,010700
"Census Tract 9501, Hickman County, Tennessee",5808,3634,46625,71439,46715,149,89,108,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,0,0,0,47,081,950100
"Census Tract 9505, Hickman County, Tennessee",2151,1796,34750,-666666666,34393,44,26,5,11,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,081,950500
"Census Tract 9502, Hickman County, Tennessee",6655,4731,36153,43538,42132,163,61,137,27,35,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,21,0,28,0,0,0,47,081,950200
"Census Tract 1302, Humphreys County, Tennessee",1963,1468,42553,46042,43854,13,11,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,085,130200
