tract_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,fips_county_code,tract
"Census Tract 9802, Stewart County, Tennessee",0,0,-666666666,-666666666,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,161,980200
"Census Tract 432.01, Sullivan County, Tennessee",4372,3293,61117,88056,62281,48,60,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,163,043201
"Census Tract 432.02, Sullivan County, Tennessee",5116,3576,39631,39019,55565,184,64,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,163,043202
"Census Tract 433.01, Sullivan County, Tennessee",5214,4000,50474,54732,52400,154,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,47,163,043301
"Census Tract 433.02, Sullivan County, Tennessee",6328,4185,35254,44688,35211,127,83,147,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,163,043302
"Census Tract 434.01, Sullivan County, Tennessee",5145,3791,43239,39623,56442,89,72,62,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,47,163,043401
"Census Tract 434.02, Sullivan County, Tennessee",4772,3593,41442,39071,52216,60,41,49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,163,043402
"Census Tract 201.01, Sumner County, Tennessee",4009,2542,50250,49972,56042,52,47,102,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,165,020101
"Census Tract 201.02, Sumner County, Tennessee",4919,3094,39493,56563,42411,124,29,68,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,24,0,0,47,165,020102
"Census Tract 202.03, Sumner County, Tennessee",2432,1680,55978,58553,56125,43,16,70,23,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0,47,165,020203
"Census Tract 202.04, Sumner County, Tennessee",3191,2139,60875,68750,63636,83,26,27,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,47,165,020204
"Census Tract 153, Davidson County, Tennessee",6150,4660,61744,71375,64353,114,42,44,30,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,47,037,015300
"Census Tract 109.03, Davidson County, Tennessee",5563,2997,32375,27446,41333,0,0,0,0,145,74,124,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,47,037,010903
"Census Tract 139, Davidson County, Tennessee",1686,1016,25547,29583,28125,0,0,0,0,31,33,57,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,47,037,013900
"Census Tract 189.01, Davidson County, Tennessee",2974,2148,50704,50577,65508,36,10,21,0,15,0,12,12,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,037,018901
"Census Tract 178, Davidson County, Tennessee",5498,4273,69387,103258,67841,27,0,44,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,037,017800
"Census Tract 159, Davidson County, Tennessee",2896,1800,13882,21025,9455,3,113,0,150,0,39,4,30,0,0,0,4,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,5,10,0,47,037,015900
"Census Tract 133, Davidson County, Tennessee",3557,2675,44743,62917,33854,0,7,0,7,30,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,15,0,0,0,0,5,7,0,47,037,013300
"Census Tract 172, Davidson County, Tennessee",1523,1030,37955,60208,35536,7,2,0,22,14,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,037,017200
"Census Tract 184.08, Davidson County, Tennessee",3587,2504,115819,104926,125865,50,12,84,11,0,0,26,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,47,037,018408
"Census Tract 9604, Jackson County, Tennessee",2209,1578,30189,24271,34464,17,3,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,087,960400
"Census Tract 9602, Jackson County, Tennessee",2531,1861,32888,43409,39345,35,8,26,32,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,4,0,0,0,47,087,960200
"Census Tract 9601, Jackson County, Tennessee",1540,1337,37212,62604,36106,24,6,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,087,960100
"Census Tract 9603, Jackson County, Tennessee",5293,3775,35440,33342,47101,119,96,107,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,9,0,18,0,9,0,47,087,960300
"Census Tract 304, Roane County, Tennessee",6179,4748,44158,42014,53559,13,65,89,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,36,0,0,0,47,145,030400
"Census Tract 305, Roane County, Tennessee",4158,2965,22453,26650,20344,50,45,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,145,030500
"Census Tract 302.02, Roane County, Tennessee",7100,5366,53046,74271,65625,159,58,74,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,47,145,030202
"Census Tract 308, Roane County, Tennessee",5930,4205,31061,31654,31645,190,21,39,81,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,145,030800
"Census Tract 306, Roane County, Tennessee",3607,2602,51653,51250,52969,75,56,31,30,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,47,145,030600
"Census Tract 303, Roane County, Tennessee",6593,5200,49509,65938,52216,134,75,233,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,145,030300
"Census Tract 309, Roane County, Tennessee",6281,4404,41793,54050,40900,80,42,50,18,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,47,145,030900
"Census Tract 307, Roane County, Tennessee",3696,2728,41129,51071,50755,32,48,114,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,145,030700
"Census Tract 301, Roane County, Tennessee",3277,2286,94118,121607,118977,77,41,94,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,47,0,0,25,0,36,0,47,145,030100
"Census Tract 302.01, Roane County, Tennessee",6105,4376,56559,65417,70128,150,46,122,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,47,145,030201
"Census Tract 114.02, Bradley County, Tennessee",2888,1880,46434,58958,38618,41,23,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,19,0,23,47,011,011402
"Census Tract 116.01, Bradley County, Tennessee",4515,3223,48639,54792,52572,136,88,84,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,47,011,011601
"Census Tract 116.02, Bradley County, Tennessee",4999,3457,41398,64071,44701,112,60,83,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,011,011602
"Census Tract 9622.01, Carroll County, Tennessee",3244,2296,29919,40586,36129,83,37,31,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,017,962201
"Census Tract 9622.02, Carroll County, Tennessee",5176,3375,43833,45658,52386,21,106,11,46,0,151,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,017,962202
"Census Tract 9801, Carroll County, Tennessee",0,0,-666666666,-666666666,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,017,980100
"Census Tract 701.03, Cheatham County, Tennessee",3351,2526,55172,55147,64975,7,36,50,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,47,021,070103
"Census Tract 701.04, Cheatham County, Tennessee",5516,3825,48049,55000,49909,204,14,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,47,021,070104
"Census Tract 702.01, Cheatham County, Tennessee",4277,2812,80838,89796,81200,113,23,135,53,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,021,070201
"Census Tract 702.02, Cheatham County, Tennessee",5201,3454,48984,60153,51011,32,16,92,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,021,070202
"Census Tract 702.03, Cheatham County, Tennessee",3409,2301,53953,51682,76250,45,105,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,14,0,0,19,0,0,47,021,070203
"Census Tract 704.01, Cheatham County, Tennessee",2486,1796,66063,70769,78482,50,40,38,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,021,070401
"Census Tract 64.02, Knox County, Tennessee",4510,3171,52701,76800,53984,121,43,77,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,093,006402
"Census Tract 64.03, Knox County, Tennessee",2982,2052,59883,66667,74828,51,32,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,47,093,006403
"Census Tract 65.01, Knox County, Tennessee",2873,2114,47101,51818,51375,36,44,28,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,093,006501
"Census Tract 65.02, Knox County, Tennessee",3442,2348,38975,45568,43000,36,42,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,47,093,006502
"Census Tract 66, Knox County, Tennessee",3277,2576,26234,56140,13152,7,34,18,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,47,093,006600
"Census Tract 67, Knox County, Tennessee",3359,2201,21081,34167,14840,19,0,25,24,22,36,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,22,31,47,093,006700
"Census Tract 68, Knox County, Tennessee",5312,2815,15539,17299,13885,0,11,26,0,251,25,71,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,093,006800
"Census Tract 69, Knox County, Tennessee",7577,691,17766,30417,21069,0,319,0,513,0,24,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,31,0,53,0,0,0,25,0,31,47,093,006900
"Census Tract 70, Knox County, Tennessee",2783,1537,19756,22798,19232,12,10,0,27,19,9,27,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,22,0,47,093,007000
"Census Tract 71, Knox County, Tennessee",3453,2473,89279,75676,161250,59,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,093,007100
"Census Tract 9351, White County, Tennessee",5661,4086,44935,72746,40107,116,54,155,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,47,185,935100
"Census Tract 9352, White County, Tennessee",3948,2854,35202,39412,35962,63,77,84,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,47,185,935200
"Census Tract 9353, White County, Tennessee",4938,3537,39478,37643,41844,122,41,38,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,47,185,935300
"Census Tract 9354, White County, Tennessee",3710,2502,30737,44375,30890,80,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,185,935400
"Census Tract 9355, White County, Tennessee",3617,2454,37837,45385,29236,24,29,85,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,47,185,935500
"Census Tract 501.01, Williamson County, Tennessee",10170,5892,136467,130521,163750,223,88,314,80,49,0,26,0,0,0,0,0,19,0,44,23,0,0,0,0,12,0,0,0,0,0,25,0,40,15,0,0,47,187,050101
"Census Tract 501.02, Williamson County, Tennessee",4168,2478,114632,112026,126917,143,53,106,17,80,0,0,0,0,0,0,0,12,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,187,050102
"Census Tract 501.03, Williamson County, Tennessee",5133,3566,104861,124337,109695,93,65,120,28,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,187,050103
"Census Tract 502.03, Williamson County, Tennessee",6112,3836,171974,201696,194453,224,87,147,46,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,187,050203
"Census Tract 502.04, Williamson County, Tennessee",5410,3361,156058,179375,174167,193,24,93,30,0,0,0,0,0,0,0,0,29,19,25,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,47,187,050204
"Census Tract 502.05, Williamson County, Tennessee",3552,2296,117763,137875,128875,108,42,94,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,47,187,050205
"Census Tract 502.06, Williamson County, Tennessee",2816,1791,156932,188438,183750,100,15,48,37,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,47,187,050206
"Census Tract 502.07, Williamson County, Tennessee",3918,2570,179975,204583,180729,81,64,112,57,70,0,0,12,0,0,0,0,11,21,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,15,47,187,050207
"Census Tract 502.08, Williamson County, Tennessee",8531,5820,109914,102868,124283,107,41,80,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,47,187,050208
"Census Tract 503.03, Williamson County, Tennessee",2939,1879,162961,182045,180800,114,37,116,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,187,050303
"Census Tract 503.04, Williamson County, Tennessee",2096,1444,137500,145000,207308,40,26,79,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,187,050304
"Census Tract 503.05, Williamson County, Tennessee",2752,1874,181875,216667,216250,76,26,116,57,0,0,5,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,187,050305
"Census Tract 503.06, Williamson County, Tennessee",2187,1422,95455,100568,120268,24,22,46,21,18,0,7,0,6,0,0,0,24,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,8,47,187,050306
"Census Tract 503.07, Williamson County, Tennessee",3440,2669,64491,75355,78523,28,36,22,15,22,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,187,050307
"Census Tract 504.03, Williamson County, Tennessee",1917,1344,139792,138625,168594,53,24,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,47,187,050403
"Census Tract 504.04, Williamson County, Tennessee",6594,4191,157679,191146,174750,299,0,130,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,187,050404
"Census Tract 504.05, Williamson County, Tennessee",2546,1756,156667,180167,180417,17,16,72,45,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,187,050405
"Census Tract 504.06, Williamson County, Tennessee",6037,3987,129087,139000,153162,147,93,187,103,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,47,187,050406
"Census Tract 505.03, Williamson County, Tennessee",5408,3333,65380,77460,66944,146,86,133,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,18,0,14,8,35,9,14,47,187,050503
"Census Tract 505.04, Williamson County, Tennessee",4125,2567,63989,67625,65733,19,87,161,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,47,187,050504
"Census Tract 506.01, Williamson County, Tennessee",6016,3856,72826,65645,111563,153,75,112,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,47,187,050601
"Census Tract 506.02, Williamson County, Tennessee",10038,6710,98603,154107,115221,127,49,167,27,2,44,51,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,27,0,0,0,66,0,31,47,187,050602
"Census Tract 507.01, Williamson County, Tennessee",4383,2794,89655,104118,97208,104,20,119,39,0,0,0,0,0,0,0,0,24,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,187,050701
"Census Tract 507.02, Williamson County, Tennessee",4740,2896,133529,139150,151125,142,109,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,47,187,050702
"Census Tract 509.04, Williamson County, Tennessee",6126,4071,69475,72396,88889,12,7,83,50,0,13,0,47,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,8,0,0,60,58,59,108,48,47,187,050904
"Census Tract 509.05, Williamson County, Tennessee",6137,3972,83030,89722,87279,86,113,136,68,20,19,0,0,0,0,0,0,0,25,36,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,18,36,47,187,050905
