univ_id,univ_id_req,univ_state,univ_latitude,univ_longitude,event_loc,event_state,cbsa_code,event_type,pid,school_id,ipeds_id,determined_zip,hotel_or_center,categorized_event_type,categorized_location_type,event_date,event_datetime_start,event_datetime_end,event_address,event_name,event_location_name,event_city,latitude,longitude,pop_total,avgmedian_inc_2564,pct_white_zip,pct_black_zip,pct_asian_zip,pct_hispanic_zip,pct_amerindian_zip,pct_nativehawaii_zip,pct_tworaces_zip,pct_otherrace_zip,pct_edu_attain_doct,pct_edu_attain_prof,pct_edu_attain_master,pct_edu_attain_bach,school_type_pub,level_pub,g09offered,g10offered,g11offered,g12offered,g09,g10,g11,g12,total_students_pub,pct_white_pub,pct_black_pub,pct_asian_pub,pct_hispanic_pub,pct_amerindian_pub,pct_nativehawaii_pub,pct_tworaces_pub,free_reduced_lunch,free_lunch,reduced_lunch,titlei_status_pub,num_took_math,num_prof_math,num_took_rla,num_prof_rla,school_type_pri,locale_code,level_pri,total_enrolled_pri,total_students_pri,total_09,total_10,total_11,total_12,pct_white_pri,pct_black_pri,pct_asian_pri,pct_hispanic_pri,pct_amerindian_pri,pct_nativehawaii_pri,pct_tworaces_pri,titlei_status_pri,pct_to_4yr,sector,search_length,search_sector,act_comp_25,act_comp_75,sat_comp_25,sat_comp_75,tuit_fees_instate,tuit_fees_outstate,fteug,pct_pell_recipients_freshman,pct_non_res_freshman,pct_freshman_white,pct_freshman_black,pct_freshman_asian,pct_freshman_hispanic,pct_freshman_amerindian,pct_freshman_nativehawaii,pct_freshman_tworaces,pct_freshman_unknownrace,pct_freshman_non_res_alien,par_mean,par_median
239105,239105,WI,43.03903,-87.927961,outofstate,HI,46520,priv_hs,11,A0700803,,96816,0,hsvisit,school,2017-04-13,2017-04-13 13:35:00,2017-04-13 14:30:00,3253 Waialae Ave,HS Visit: Sacred Hearts Academy,Sacred Hearts Academy High Sch,Honolulu,21.28564,-157.806851,50118.0,85044.0,17.5027,0.5108,55.2376,6.2931,0.0818,5.3214,14.9787,0.0738,2.1456,3.9824,9.977,27.8037,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,3,900.0,875.0,125.0,125.0,125.0,125.0,34.2857,8.4571,28.5714,3.8857,0.0,22.8571,1.9429,0.0,71.0,,,,,,,,,,,,,,,,,,,,,,,
239105,239105,WI,43.03903,-87.927961,outofstate,IL,16980,priv_hs,12,01601838,,60608,0,collegefair,school,2017-03-15,2017-03-15 19:00:00,2017-03-15 20:30:00,1076 W Roosevelt Rd,College Night,Saint Ignatius College Prep,Chicago,41.86778,-87.653991,78072.0,42598.5,17.4339,17.3045,10.6709,53.2662,0.3202,0.0,0.7839,0.2203,0.9729,1.5001,5.3355,15.8591,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,2,1373.0,1373.0,354.0,364.0,311.0,344.0,66.5696,11.2891,3.4232,12.6001,0.3642,0.0,5.7538,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,
239105,239105,WI,43.03903,-87.927961,outofstate,IL,,other,13,,,60120,0,collegefair,,2017-03-16,2017-03-16 09:30:00,2017-03-16 12:30:00,100 Symphony Way,AVID Fair,Centre of Elgin Recreation Facility,Elgin,42.040926,-88.285288,50809.0,58328.5,29.2488,4.9519,5.009,59.1116,0.0315,0.0,0.9526,0.6948,0.8048,0.6347,4.6225,13.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239105,239105,WI,43.03903,-87.927961,outofstate,IL,16980,cc,14,,146472,60030,0,collegevisit,university,2017-03-16,2017-03-16 18:00:00,2017-03-16 20:00:00,19351 W Washington St,College of Lake Country IRCF,College of Lake County (CLC Physical Education Center),Grayslake,42.355881,-88.012392,36876.0,95823.5,78.1267,2.4542,5.928,10.8119,0.1925,0.0,2.3701,0.1166,1.8406,2.0995,12.9935,26.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public, 2-year",2,PUBLIC,,,,,8358.0,11046.0,9740.0,31.0,2.01754379,46.73366928,5.19262981,5.77889442,33.24958038,0.16750419,0.41876048,5.44388628,3.01507545,0.0,96426.671875,75000.0
239105,239105,WI,43.03903,-87.927961,outofstate,IL,16980,cc,15,,147378,60465,0,collegefair,cc|university,2017-03-17,2017-03-17 09:30:00,2017-03-17 12:30:00,9000 W College Pkwy,National Hispanic College Fair,Moraine Valley COmmunity College (Building M),Palos Hills,41.694613,-87.836915,17575.0,64586.0,80.4723,5.2347,2.623,9.7354,0.0,0.0,1.1892,0.7454,0.9433,0.8474,8.1701,14.5255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public, 2-year",2,PUBLIC,,,,,8916.0,10326.0,11066.0,44.0,1.30874479,54.17376328,6.47359467,2.15786481,26.00794983,0.39750141,0.0,2.66893816,6.58716631,1.53321981,80504.2421875,66800.0
239105,239105,WI,43.03903,-87.927961,outofstate,IL,,other,16,,,60523,1,collegefair,hotel,2017-03-19,2017-03-19 14:00:00,,1401 W 22nd St,Jesuit College Fair,Chicago Marriott Oakbrook,Oak Brook,41.8459387,-87.9528347,10110.0,129815.5,68.724,3.1949,20.0593,3.7587,0.0989,0.0,2.819,1.3452,3.709,14.7287,12.5581,28.3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239105,239105,WI,43.03903,-87.927961,outofstate,IL,16980,pse,17,,147660,60540,0,collegefair,university,2017-03-20,2017-03-20 18:00:00,,30 N Brainard St,North Central College Fair,North Central College,Naperville,41.775304,-88.143649,44662.0,115197.5,72.8584,3.4459,12.7133,7.8075,0.1209,0.0,2.8279,0.2261,3.4003,4.1724,21.8663,35.0277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",4,PRIVATE,22.0,27.0,,,35421.0,35421.0,2707.0,26.0,,69.78297424,4.17362261,2.6711185,14.19031715,0.66777962,0.16694491,3.50584316,3.50584316,1.33555925,141595.0625,105500.0
239105,239105,WI,43.03903,-87.927961,outofstate,IL,16980,priv_hs,18,00341222,,60091,0,collegefair,school,2017-03-21,2017-03-21 13:30:00,2017-03-21 15:00:00,701 Locust Rd,Regina Dominican College Fair,Regina Dominican High School,Wilmette,42.07526,-87.744511,27304.0,174486.5,79.8674,0.7728,13.3936,3.6185,0.0696,0.0183,2.1755,0.0842,6.3772,13.8468,26.995,33.8657,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,2,281.0,281.0,66.0,66.0,70.0,79.0,81.4947,2.847,4.9822,8.8968,0.3559,0.0,1.4235,0.0,99.0,,,,,,,,,,,,,,,,,,,,,,,
239105,239105,WI,43.03903,-87.927961,outofstate,IL,16980,pub_hs,19,172853002988,,60077,0,collegefair,school,2017-03-21,2017-03-21 18:30:00,2017-03-21 20:30:00,5701 Oakton St,Niles West College Fair,Niles Township West High Sch,Skokie,42.024906,-87.770303,28281.0,67423.0,53.1452,5.2084,25.9467,12.8355,0.0601,0.0,2.5989,0.2051,1.1137,2.3111,12.1076,26.4081,1,3,1.0,1.0,1.0,1.0,599.0,649.0,659.0,609.0,2516.0,49.0859,5.6041,30.6836,14.1494,0.1192,0.1192,0.2385,819.0,819.0,0.0,2,455.0,150.15,380.0,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239105,239105,WI,43.03903,-87.927961,outofstate,IL,16980,pub_hs,20,171394001738,,60181,0,collegefair,school,2017-03-22,2017-03-22 10:00:00,,1250 S Ardmore Ave,Willowbrook High School College Fair,Willowbrook High School,Villa Park,41.864756,-87.982204,28667.0,75395.0,62.197,5.4418,8.4278,22.1683,0.136,0.0,1.5349,0.0942,1.7282,1.6041,9.526,24.837,1,3,1.0,1.0,1.0,1.0,559.0,460.0,418.0,503.0,1941.0,52.1381,9.119,9.7888,25.7599,0.5667,0.0,2.6275,927.0,846.0,81.0,5,410.0,69.7,449.0,139.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
